fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
02,US,AK,,state,,iso1:us#iso2:us-ak,,731545,0.032,other,23.8,0.27,0.89,0.1,,,,,,0.75,2,1,2,1,0,,1,154047,922,154136,2886030,235,1393,1001,67,,137,103,16,,418,1316025,471322,408744,2021-12-21,https://covidactnow.org/us/alaska-ak,0.644,0.559,0,1005845,3
01,US,AL,,state,,iso1:us#iso2:us-al,,4903185,0.073,other,17.0,0.1,1.16,0.1,,,,,,0.87,2,1,2,2,2,,3,855831,16353,807635,5639825,404,15060,10959,524,,1550,1342,130,,552,7977980,2840554,2314410,2021-12-21,https://covidactnow.org/us/alabama-al,0.579,0.472,0,5510359,3
05,US,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.075,other,25.5,0.21,0.98,0.1,,,,,,0.83,3,1,3,1,1,,2,544082,8982,335133,3644928,790,7975,5525,577,,911,759,207,,434,4921600,1874196,1531814,2021-12-21,https://covidactnow.org/us/arkansas-ar,0.621,0.508,26,3727987,3
04,US,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.122,other,40.0,0.03,0.92,0.1,,,,,,0.52,3,2,3,2,1,,0,1337641,23519,1353888,10767507,396,15110,12398,2524,,1785,930,614,,2176,12394650,4838126,4110695,2021-12-21,https://covidactnow.org/us/arizona-az,0.665,0.565,0,10261445,3
06,US,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.026,other,19.6,0.27,1.09,0.1,,,,,,0.76,2,0,2,1,1,,1,5227931,76014,5230968,96520867,10600,61494,47799,3862,,7032,5358,942,,19084,74690345,32264393,25882543,2021-12-21,https://covidactnow.org/us/california-ca,0.817,0.655,87,64114995,3
08,US,CO,,state,,iso1:us#iso2:us-co,,5758736,0.068,other,29.1,0.16,0.88,0.1,,,,,,0.75,3,1,3,1,0,,1,875243,10115,885251,11555432,1300,8993,6329,807,,946,709,292,,3257,10723825,4243029,3777182,2021-12-21,https://covidactnow.org/us/colorado-co,0.737,0.656,40,9282678,3
09,US,CT,,state,,iso1:us#iso2:us-ct,,3565287,0.084,other,57.9,0.08,1.17,0.1,,,,,,0.59,3,1,3,2,2,,0,460951,9042,582693,11733144,860,7684,6185,894,,1024,607,173,,6209,7238925,3112662,2643186,2021-12-21,https://covidactnow.org/us/connecticut-ct,0.873,0.741,40,6472355,3
11,US,DC,,state,,iso1:us#iso2:us-dc,,705749,0.076,other,50.9,0.15,1.43,0.1,,,,,,0.79,3,1,3,1,3,,1,71219,1206,107753,3485260,268,3475,2589,214,,320,253,25,,844,1559315,610650,472004,2021-12-21,https://covidactnow.org/us/district_of_columbia-dc,0.865,0.669,0,1251842,3
10,US,DE,,state,,iso1:us#iso2:us-de,,973764,0.11,other,72.4,0.06,1.13,0.1,,,,,,0.86,3,2,3,2,2,,3,166292,2242,186897,2841234,211,2891,2282,386,,195,167,48,,671,1943945,736375,618343,2021-12-21,https://covidactnow.org/us/delaware-de,0.756,0.635,0,1543502,3
12,US,FL,,state,,iso1:us#iso2:us-fl,,21477737,0.087,other,32.9,0.07,1.5,0.1,,,,,,0.71,3,1,3,2,3,,1,3762682,62264,4437862,40796460,2600,54382,41040,1656,,6268,4449,284,,18404,40231805,15827856,13508670,2021-12-21,https://covidactnow.org/us/florida-fl,0.737,0.629,44,32914753,3
